epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,322.976,1.68559,3.68012,0.00899,0.82054,0.63314,0.53843,0.50953,0.32601,1.42338,2.55394,0.01024,0.00281,0.000552929,0.000552929,0.000552929
2,454.298,1.46983,2.40518,0.00834,0.00365,0.70122,0.57874,0.57761,0.39114,1.30563,2.11994,0.00969,0.00134,0.00110817,0.00110817,0.00110817
3,587.15,1.43256,2.28188,0.00808,0.00262,0.64188,0.53613,0.55686,0.34989,1.47829,2.70021,0.00987,0.00665,0.00166172,0.00166172,0.00166172
4,722.679,1.44712,2.25269,0.00818,0.00383,0.70783,0.59512,0.62113,0.41596,1.30947,2.20113,0.00983,0.00027,0.00166128,0.00166128,0.00166128
5,855.465,1.38932,2.12233,0.00799,0.00104,0.71237,0.60354,0.6319,0.41437,1.33039,2.14028,0.01004,0.00024,0.00165684,0.00165684,0.00165684
6,998.569,1.39693,2.11832,0.00802,0.00332,0.72981,0.59201,0.57337,0.39851,1.2869,2.02987,0.00998,0.00152,0.00165114,0.00165114,0.00165114
7,1131.24,1.36436,2.05533,0.0079,0.0008,0.70374,0.57185,0.60001,0.39846,1.34169,2.2097,0.00959,0.00012,0.0016442,0.0016442,0.0016442
8,1265.32,1.35175,2.02087,0.00776,0.00054,0.74075,0.61355,0.65206,0.4474,1.23016,1.95862,0.00939,0.00012,0.00163602,0.00163602,0.00163602
9,1381.41,1.35043,1.96734,0.00789,0.00279,0.75681,0.62304,0.64928,0.44697,1.238,1.93715,0.00961,0.00037,0.00162661,0.00162661,0.00162661
10,1514.78,1.30489,1.92756,0.00767,0.00028,0.75222,0.63588,0.67782,0.4648,1.21682,1.94028,0.00957,6e-05,0.001616,0.001616,0.001616
11,1642.23,1.30155,1.86085,0.0077,0.00023,0.74699,0.61909,0.66914,0.45263,1.25611,2.01977,0.00931,9e-05,0.00160419,0.00160419,0.00160419
12,1775.68,1.29668,1.87313,0.00761,0.0002,0.76422,0.64449,0.67036,0.46232,1.21799,1.85473,0.00956,5e-05,0.0015912,0.0015912,0.0015912
13,1898.61,1.30102,1.8452,0.0077,0.00047,0.75996,0.62899,0.6667,0.46585,1.20762,1.87995,0.00951,0.00011,0.00157706,0.00157706,0.00157706
14,2019.81,1.271,1.80715,0.00764,0.00067,0.75322,0.63596,0.66831,0.46719,1.19735,1.86272,0.00948,5e-05,0.00156179,0.00156179,0.00156179
15,2148.55,1.26659,1.8035,0.00759,0.00051,0.76296,0.63781,0.66109,0.46638,1.18712,1.82131,0.00929,5e-05,0.0015454,0.0015454,0.0015454
16,2281.58,1.24102,1.75511,0.00753,0.00032,0.77404,0.64769,0.67608,0.47611,1.19121,1.76295,0.00948,9e-05,0.00152793,0.00152793,0.00152793
17,2409.49,1.25691,1.78112,0.00746,0.00043,0.77833,0.62723,0.65024,0.45659,1.20323,1.84583,0.00972,0.00013,0.00150941,0.00150941,0.00150941
18,2545.64,1.25181,1.76112,0.00755,0.00021,0.77932,0.63924,0.6743,0.47355,1.19092,1.77273,0.00945,9e-05,0.00148985,0.00148985,0.00148985
19,2668.42,1.24545,1.72688,0.00765,0.00022,0.77502,0.64993,0.67725,0.48002,1.17652,1.74627,0.00939,6e-05,0.0014693,0.0014693,0.0014693
20,2794.72,1.23396,1.7198,0.00753,0.00048,0.77451,0.65182,0.69126,0.48807,1.16828,1.78383,0.00939,3e-05,0.00144777,0.00144777,0.00144777
21,2915.01,1.24891,1.71597,0.00777,0.00033,0.77541,0.6642,0.7006,0.4927,1.17074,1.75654,0.00939,5e-05,0.00142531,0.00142531,0.00142531
22,3055.65,1.21768,1.67655,0.00749,0.00075,0.77712,0.65077,0.68368,0.48489,1.17183,1.74108,0.0092,5e-05,0.00140196,0.00140196,0.00140196
23,3173.91,1.22333,1.66342,0.0075,0.00017,0.76766,0.66321,0.70252,0.49159,1.17375,1.78119,0.00937,4e-05,0.00137774,0.00137774,0.00137774
24,3294.93,1.2146,1.66436,0.00754,0.00022,0.7751,0.66728,0.7,0.49385,1.1632,1.71942,0.0093,3e-05,0.00135269,0.00135269,0.00135269
25,3459.03,1.22032,1.66148,0.00764,0.00016,0.78145,0.67212,0.70284,0.49716,1.15173,1.67824,0.00931,5e-05,0.00132685,0.00132685,0.00132685
26,3576.45,1.2053,1.63505,0.00761,0.00013,0.77936,0.67317,0.71037,0.50698,1.13379,1.68727,0.00941,2e-05,0.00130027,0.00130027,0.00130027
